YEAR,Disaster Subtype,Origin,Total Deaths,Total Affected,Total Damage (1K USD)
2000,Flash flood,Brief torrential rain,12.0,8000.0,1000.0
2001,Flash flood,,,10000.0,
2001,Flood (General),,,5000.0,
2001,Flood (General),,,200.0,
2001,Riverine flood,Heavy rain,11.0,18000.0,
2002,Landslide (wet),,10.0,,
2003,Flash flood,,5.0,3000.0,
2003,Riverine flood,Monsoonal rain,,2000.0,
2003,Riverine flood,Continuous rains,3.0,13800.0,
2004,Riverine flood,Heavy rain,3.0,6900.0,
2004,Riverine flood,Heavy rains,,9138.0,
2004,Riverine flood,Monsoonal rain,13.0,15000.0,10000.0
2005,Flash flood,Brief torrential rain,4.0,600.0,
2005,Flash flood,Heavy rains,9.0,30000.0,
2006,Riverine flood,Heavy rains,,1112.0,
2006,Riverine flood,Heavy rains,,4906.0,
2006,Riverine flood,Heavy rain,,500.0,
2006,Flash flood,Monsoonal rain,6.0,100000.0,22000.0
2007,Riverine flood,Monsoonal rain,17.0,137533.0,605000.0
2007,Riverine flood,Monsoonal rain,29.0,29000.0,363000.0
2008,Riverine flood,Heavy rains,,2000.0,
2008,Flash flood,Heavy rain,,6000.0,
2009,Riverine flood,Heavy rain,,1793.0,
2009,Riverine flood,Heavy rain,,9082.0,
2011,Riverine flood,Heavy rains,2.0,20000.0,
2011,Landslide (wet),Heavy rains,16.0,6.0,
2013,Riverine flood,Monsoonal rain,4.0,75000.0,2000.0
2014,Riverine flood,Heavy rains,17.0,230000.0,284000.0
2014,Drought,,,2200000.0,
2015,Riverine flood,Heavy rains,1.0,3000.0,
2016,Flood (General),Heavy monsoonal rains,,6000.0,
2016,Flood (General),Torrential rain,,441.0,
2016,Flood (General),Heavy rains,,400.0,
2016,Flood (General),Continous rains,,25000.0,132000.0
2017,Flood (General),Heavy rains,,5481.0,
2017,Flood (General),Heavy rain,7.0,3500.0,
2017,Riverine flood,Heavy rains,2.0,13000.0,
2018,Flash flood,Heavy rains,,4900.0,
2018,Flood (General),Monsoonal rains,2.0,12000.0,
2019,Flood (General),Heavy rains,,1000.0,
2019,Flood (General),,,2412.0,
2019,Flood (General),Heavy rains,2.0,15000.0,
2019,Flood (General),Heavy rains,,4065.0,
2020,Flood (General),Heavy rains,,2000.0,
2020,Flood (General),Heavy rains,,9000.0,6800.0
2020,Flood (General),Heavy rains,,1210.0,
2020,Flood (General),,,400.0,
2020,Riverine flood,,,9273.0,
2021,Flood (General),Heavy rains,6.0,3000.0,
2021,Flood (General),Heavy rains,,6000.0,
2021,Flood (General),,8.0,23776.0,
2021,Flood (General),Heavy rains,,5782.0,
2021,Flash flood,Heavy rains,7.0,4828.0,
2021,Flood (General),Heavy rains,2.0,255.0,
2021,Flash flood,Heavy rains,,1000.0,
2021,Flash flood,"Heavy rains, Tropical Depression TWENTYNINE",56.0,120000.0,1460000.0
2022,Flood (General),Heavy rains,6.0,26000.0,240.0
2022,Flood (General),Heavy rains,,1290.0,
2022,Flood (General),Heavy rains,3.0,228.0,
2022,Flood (General),Heavy rains,,3107.0,
2022,Landslide (wet),Heavy rains,33.0,94.0,
2022,Flood (General),Heavy rains,8.0,60000.0,
2023,Flood (General),Torrential rains,,11000.0,
2023,Flood (General),Heavy rains,4.0,46630.0,
2023,Flood (General),Heavy rains,,881.0,
2023,Flood (General),Heavy rains,2.0,25676.0,
2025,Flood (General),Heavy rains,5.0,12500.0,
2025,Flood (General),Heavy rains,,251.0,
2025,Flood (General),,,4555.0,
2025,Flash flood,Heavy rains,13.0,3134.0,
