DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0159-MYS,No,nat-bio-epi-dis,Natural,Biological,Epidemic,Infectious disease (General),,,MYS,Malaysia,South-eastern Asia,Asia,Sarawak,,,No,No,No,,,Vaccinated,,,,2000,1,,2000,1,,2,,480,,480,,,,,,,54.89515197,,2003-07-01,2023-09-25
2000-0683-MYS,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,MYS,Malaysia,South-eastern Asia,Asia,Pulau Pinang province,,,No,No,No,,,Kph,,,,2000,9,27,2000,9,27,,,500,,500,,,,,,,54.89515197,"[{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""}]",2003-07-01,2023-09-25
2000-0694-MYS,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Hand foot and mouth disease,MYS,Malaysia,South-eastern Asia,Asia,"Johor, Selangar, Penang, Kedah, Terengganu states",,,No,No,No,,,Vaccinated,,,,2000,10,,2000,10,,2,,508,,508,,,,,,,54.89515197,,2003-07-01,2023-09-25
2000-0774-MYS,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,MYS,Malaysia,South-eastern Asia,Asia,"Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)",Brief torrential rain,,No,No,No,,,Km2,,,"Sungai Bata, Sungai Kampung Telok Malik, Sungai Pantai Johor, Sungai Baru, Sungai Golok, Sungai Padang Terap.",2000,11,21,2000,12,1,12,,8000,,8000,,,,,1000,1822,54.89515197,"[{""adm2_code"":37347,""adm2_name"":""Kota Setar""},{""adm2_code"":37349,""adm2_name"":""Kubang Pasu""},{""adm2_code"":37352,""adm2_name"":""Padang Terap""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37363,""adm2_name"":""Pasir Puteh""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37463,""adm2_name"":""Besut""}]",2005-09-14,2023-09-25
2000-0913-MYS,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,MYS,Malaysia,South-eastern Asia,Asia,Port Dickson,,,No,No,No,,,,,,,2000,8,23,2000,8,23,53,,,,,,,,,,,54.89515197,,2005-04-24,2023-09-25
2001-0263-MYS,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,MYS,Malaysia,South-eastern Asia,Asia,Northern Island of Langkawi,,,No,No,No,,,,,,,2001,3,6,2001,3,6,14,,,,,,,,,,,56.44657635,,2003-07-01,2023-09-25
2001-0505-MYS,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,MYS,Malaysia,South-eastern Asia,Asia,"Teluk Ipil area (Seberang Perai Selatan district, Pulau Pinang province)",,,No,No,No,,,Km2,,,,2001,8,19,2001,8,19,,,10000,,10000,,,,,,,56.44657635,"[{""adm2_code"":37401,""adm2_name"":""Seberang Perai Selatan""}]",2003-07-01,2023-09-25
2001-0600-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Inanam borough (Kota Kinabalu district, Sabah province), Beaufort, Papar, Penampang, Tuaran districts (Sabah province)",,,No,No,No,,,Km2,,,,2001,10,,2001,10,,,,5000,,5000,,,,,,,56.44657635,"[{""adm2_code"":37405,""adm2_name"":""Beaufort""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37415,""adm2_name"":""Papar""},{""adm2_code"":37416,""adm2_name"":""Penampang""},{""adm2_code"":37426,""adm2_name"":""Tuaran""}]",2003-07-01,2023-09-25
2001-0649-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,Kuala Lumpur province,,,No,No,No,,,Km2,,,,2001,10,30,2001,10,30,,,200,,200,,,,,,,56.44657635,"[{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""}]",2003-07-01,2023-09-25
2001-0693-MYS,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,MYS,Malaysia,South-eastern Asia,Asia,"Pahang, Kelantan, Terengganu provinces",Heavy rain,,No,No,No,,22940,Km2,,,"Pahang, Galas, Lebir, Kelantan, Kemaman, Dungun, Berang Kertih",2001,12,22,2002,1,3,11,,18000,,18000,,,,,,,56.44657635,"[{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]",2008-04-15,2023-09-25
2002-0064-MYS,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,MYS,Malaysia,South-eastern Asia,Asia,Simunjan district (Sarawak province),,,No,No,No,,,,,,,2002,1,31,2002,1,31,10,,,,,,,,,,,57.34184015,"[{""adm2_code"":37450,""adm2_name"":""Simunjan""}]",2005-05-03,2023-09-25
2002-0231-MYS,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,MYS,Malaysia,South-eastern Asia,Asia,"Klang Valley area (Sepang district, Selangor province), Setapak Jaya, Jalan Pinang, Jalan Semarak, Jalan Tun Razak, Pudu boroughs (Kuala Lumpur district, Kuala Lumpu province), Petaling district (Selangor province)",,,No,No,No,,,Kph,,,,2002,3,30,2002,3,30,2,,155,,155,,,,,,,57.34184015,"[{""adm2_code"":37366,""adm2_name"":""Kuala Lumpur""},{""adm2_code"":37459,""adm2_name"":""Petaling""},{""adm2_code"":37461,""adm2_name"":""Sepang""}]",2003-07-01,2023-09-25
2003-0604-MYS,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,MYS,Malaysia,South-eastern Asia,Asia,"Kuala Terengganu, Kemaman, Marang, Dungun districts (Terengganu province), Kota Bharu district (Kelantan province), Kuantan district (Pahang province)",,,No,No,No,,,Km2,,,,2003,11,29,2003,12,2,5,,3000,,3000,,,,,,,58.64355298,"[{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37381,""adm2_name"":""Kuantan""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37467,""adm2_name"":""Kuala Terengganu""},{""adm2_code"":37468,""adm2_name"":""Marang""}]",2003-12-18,2023-09-25
2003-0655-MYS,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,MYS,Malaysia,South-eastern Asia,Asia,"Kampung Pengkalan, Buang Sayang, Muhibbah Hujung, Muhibbah Baru, Sinar Baru, Lokan, Sri Tanjung areas (Kinabatangan district, Sabah province), Beluran area (Labuk & Sugut district, Sabah province), Kota Marud district (Sabah province)",Monsoonal rain,,No,No,No,,21720,Km2,,,Sungai Kinabatangan,2003,12,17,2004,1,5,,,2000,,2000,,,,,,,58.64355298,"[{""adm2_code"":37407,""adm2_name"":""Kinabatangan""},{""adm2_code"":37410,""adm2_name"":""Kota Marud""},{""adm2_code"":37413,""adm2_name"":""Labuk \u0026 Sugut""}]",2004-01-30,2023-09-25
2003-0774-MYS,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,MYS,Malaysia,South-eastern Asia,Asia,"Kedah, Pahang, Perak provinces",Continuous rains,,No,No,No,,,Km2,,,"Ketil, Selama, Muda, Lembu, Baling, Bongkok, Teroi Bukit, Sedim, Kepala Batas, Taman Aman, Pantai Johor, Pinang, Muda, Kulim, Bayu, Kerian",2003,10,3,2003,10,25,3,,13800,,13800,,,,,,,58.64355298,"[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""}]",2004-03-02,2023-09-25
